symbol,conf.,open,high,low,close,ltp,close - ltp,close - ltp %,vwap,vol,prev. close,turnover,trans.,diff,range,diff %,range %,vwap %,120 days,180 days,52 weeks high,52 weeks low,source_file,tradedate
ACLBSL,33.91,1024.0,1044.4,1010.0,1016.64,1010.0,6.64,0.01,1023.72,1761.0,1028.1,1802762.4,50,-11.46,34.4,-1.11,3.41,-0.7,1072.9,1083.82,1284.9,965.0,09_10_2025.csv,2025-09-10
ADBL,26.02,320.3,321.0,317.0,317.16,317.9,-0.74,0.0,318.21,69424.0,321.11,22091514.0,297,-3.95,4.0,-1.23,1.26,-0.33,302.34,302.8,400.0,272.3,09_10_2025.csv,2025-09-10
ADBLD83,30.97,1073.0,1073.0,1073.0,1073.0,1073.0,0.0,0.0,1073.0,200.0,1073.3,214600.0,1,-0.3,0.0,-0.03,0.0,0.0,1103.9,1098.37,1160.0,1046.0,09_10_2025.csv,2025-09-10
AHL,27.92,601.1,613.0,577.4,605.05,605.0,0.05,0.0,602.6,9453.0,613.31,5696419.5,72,-8.26,35.6,-1.35,6.17,0.4,663.62,701.03,891.0,577.4,09_10_2025.csv,2025-09-10
AHPC,29.88,287.0,287.0,280.1,282.24,282.1,0.14,0.0,282.62,112714.0,286.47,31854826.0,361,-4.23,6.9,-1.48,2.46,-0.13,285.38,277.0,334.0,239.3,09_10_2025.csv,2025-09-10
AKJCL,30.64,195.2,197.0,191.1,191.33,193.0,-1.67,-0.01,192.85,107453.0,196.04,20721941.1,391,-4.71,5.9,-2.4,3.09,-0.79,208.21,206.93,233.5,187.2,09_10_2025.csv,2025-09-10
AKPL,28.64,255.0,256.9,250.7,252.68,253.0,-0.32,0.0,253.25,177195.0,255.57,44874335.2,452,-2.89,6.2,-1.13,2.47,-0.22,254.54,249.03,306.5,211.3,09_10_2025.csv,2025-09-10
ALBSL,25.92,1013.9,1053.6,1013.9,1046.39,1038.0,8.39,0.01,1038.38,28748.0,1034.49,29851223.6,267,11.9,39.7,1.15,3.92,0.77,873.09,869.16,1131.0,771.0,09_10_2025.csv,2025-09-10
ALICL,27.19,477.0,479.0,471.0,472.22,473.1,-0.88,0.0,474.67,11695.0,479.37,5551320.6,105,-7.15,8.0,-1.49,1.7,-0.52,598.21,647.32,831.0,471.0,09_10_2025.csv,2025-09-10
ANLB,41.78,5960.0,6299.0,5960.0,6230.15,6228.0,2.15,0.0,6078.9,1163.0,6080.18,7069763.5,95,149.97,339.0,2.47,5.69,2.43,5498.14,5416.39,6735.0,4146.0,09_10_2025.csv,2025-09-10
